account_id,risk_tier,utilization,fico_origination,annual_income,credit_history_months,thin_file,days_past_due,ending_balance,charge_off_flag
44757,Tier 2 - Moderate,0.0,619,40100.0,89,False,0,0.0,0
13822,Tier 2 - Moderate,0.0,719,69200.0,341,False,0,0.0,0
38367,Tier 4 - High Risk,1.0344,613,69600.0,46,False,180,23170.95,1
23050,Tier 2 - Moderate,0.259,651,31300.0,367,False,0,2900.52,0
26193,Tier 2 - Moderate,0.2746,717,55500.0,47,False,0,2938.39,0
23810,Tier 2 - Moderate,0.5744,718,55200.0,138,False,0,17463.07,0
21078,Tier 2 - Moderate,0.5961,660,70700.0,70,False,0,13471.18,0
30417,Tier 2 - Moderate,0.1623,704,38900.0,210,False,0,243.46,0
47087,Tier 1 - Low Risk,0.5367,720,51500.0,135,False,0,6064.42,0
41059,Tier 2 - Moderate,0.527,625,34000.0,35,False,30,6693.3,0
25581,Tier 2 - Moderate,0.2532,597,87700.0,134,False,0,6076.87,0
42371,Tier 2 - Moderate,0.2585,700,89500.0,78,False,0,12770.69,0
14834,Tier 1 - Low Risk,0.1089,726,56400.0,69,False,30,1143.41,0
46909,Tier 2 - Moderate,0.7233,665,42200.0,191,False,30,8390.43,0
4412,Tier 1 - Low Risk,0.0,789,109800.0,258,False,0,0.0,0
40303,Tier 2 - Moderate,0.2259,627,38200.0,35,False,0,3230.83,0
20076,Tier 2 - Moderate,0.0915,701,66300.0,149,False,30,3614.92,0
43986,Tier 1 - Low Risk,0.2254,780,74400.0,191,False,0,10433.82,0
22883,Tier 1 - Low Risk,0.4417,720,24900.0,46,False,0,5123.23,0
22436,Tier 1 - Low Risk,0.0494,820,172000.0,151,False,0,2467.66,0
14866,Tier 2 - Moderate,0.5116,609,56600.0,315,False,0,767.36,0
19464,Tier 2 - Moderate,0.4993,569,33600.0,63,False,0,748.89,0
33568,Tier 4 - High Risk,1.017,565,37700.0,34,False,180,1525.45,1
20114,Tier 1 - Low Risk,0.2322,737,54700.0,24,False,0,5666.48,0
18373,Tier 4 - High Risk,0.9919,566,25100.0,197,False,150,1487.81,0
8651,Tier 2 - Moderate,0.5048,597,37000.0,178,False,0,5199.18,0
24236,Tier 3 - Elevated,0.8285,597,45400.0,389,False,30,11102.46,0
39523,Tier 2 - Moderate,0.344,705,60400.0,430,False,0,10492.29,0
40952,Tier 2 - Moderate,0.0846,684,39700.0,371,False,30,1116.78,0
44296,Tier 2 - Moderate,0.349,693,37700.0,21,True,0,5583.31,0
41547,Tier 2 - Moderate,0.0,703,26700.0,62,False,0,0.0,0
10114,Tier 2 - Moderate,0.1432,682,21600.0,234,False,0,1217.13,0
15670,Tier 1 - Low Risk,0.0,761,110500.0,258,False,0,0.0,0
48196,Tier 1 - Low Risk,0.1887,745,112700.0,154,False,0,5001.41,0
42612,Tier 1 - Low Risk,0.1874,789,54700.0,117,False,0,4403.67,0
1698,Tier 2 - Moderate,0.5964,710,34500.0,29,False,60,10377.7,0
30920,Tier 2 - Moderate,0.1848,698,50000.0,76,False,0,4824.39,0
23308,Tier 3 - Elevated,0.706,586,33200.0,249,False,60,2965.13,0
30182,Tier 2 - Moderate,0.1972,668,86800.0,129,False,0,5974.19,0
21377,Tier 2 - Moderate,0.2268,600,20200.0,385,False,0,340.14,0
27917,Tier 1 - Low Risk,0.2876,790,72600.0,105,False,0,8137.87,0
9544,Tier 4 - High Risk,0.9008,578,54700.0,70,False,90,1351.19,0
13858,Tier 1 - Low Risk,0.3326,749,88500.0,153,False,0,7682.63,0
41998,Tier 2 - Moderate,0.3389,686,52700.0,235,False,0,5422.3,0
35638,Tier 2 - Moderate,0.2086,676,42100.0,143,False,0,4525.81,0
28009,Tier 2 - Moderate,0.1498,666,100300.0,125,False,0,2546.31,0
17727,Tier 2 - Moderate,0.4567,573,26800.0,121,False,0,685.02,0
8074,Tier 1 - Low Risk,0.2122,757,144300.0,145,False,0,10608.61,0
38757,Tier 2 - Moderate,0.0,571,29800.0,203,False,0,0.0,0
3354,Tier 2 - Moderate,0.3476,694,24300.0,297,False,30,4518.17,0
6829,Tier 2 - Moderate,0.324,716,43200.0,242,False,0,5831.33,0
28768,Tier 1 - Low Risk,0.0927,769,37600.0,32,False,0,2354.59,0
48757,Tier 2 - Moderate,0.0,601,49400.0,300,False,0,0.0,0
26443,Tier 1 - Low Risk,0.3227,765,77100.0,262,False,0,6614.4,0
20163,Tier 2 - Moderate,0.1563,690,22400.0,357,False,0,1406.64,0
31504,Tier 2 - Moderate,0.3243,643,50200.0,389,False,0,5967.74,0
39704,Tier 1 - Low Risk,0.2829,834,56500.0,319,False,0,6790.31,0
34263,Tier 2 - Moderate,0.0,706,58800.0,123,False,0,0.0,0
24849,Tier 1 - Low Risk,0.5722,769,94600.0,383,False,0,28611.96,0
3507,Tier 1 - Low Risk,0.19,774,47500.0,181,False,0,5224.36,0
15395,Tier 1 - Low Risk,0.0,805,177800.0,231,False,0,0.0,0
2914,Tier 3 - Elevated,1.0057,701,29500.0,63,False,180,18103.4,1
9356,Tier 1 - Low Risk,0.2894,776,54200.0,43,False,30,7176.82,0
45787,Tier 1 - Low Risk,0.4022,735,207700.0,140,False,0,20109.65,0
40841,Tier 2 - Moderate,0.0,671,66000.0,77,False,0,0.0,0
505,Tier 1 - Low Risk,0.3974,803,153600.0,51,False,0,19871.28,0
20161,Tier 2 - Moderate,0.0,692,36800.0,185,False,0,0.0,0
