cardholder_id,age,annual_income,employment_status,region_id,fico_origination,credit_history_months
1,26,31600.0,Student,4,608,38
2,65,44600.0,Retired,4,737,443
3,58,72500.0,Employed,1,721,114
4,46,53800.0,Retired,1,636,162
5,45,43700.0,Employed,4,776,252
6,69,39500.0,Employed,1,688,324
7,25,31600.0,Student,4,629,50
8,60,54100.0,Employed,1,716,113
9,32,127800.0,Retired,2,799,127
10,26,64600.0,Self-Employed,4,730,66
11,51,30500.0,Retired,2,752,123
12,76,83700.0,Employed,4,701,480
13,62,41100.0,Retired,4,661,252
14,64,58200.0,Student,4,799,347
15,61,44200.0,Retired,1,648,306
16,65,145400.0,Employed,2,731,316
17,50,33200.0,Unemployed,2,587,259
18,28,58100.0,Employed,4,653,24
19,68,43500.0,Employed,2,627,330
20,46,75800.0,Student,4,669,155
21,49,62800.0,Employed,2,731,288
22,42,94100.0,Employed,2,675,62
23,31,70700.0,Self-Employed,4,684,84
24,73,44100.0,Student,3,623,147
25,65,217300.0,Unemployed,4,771,420
26,57,72900.0,Employed,1,764,366
27,43,41900.0,Self-Employed,2,720,222
28,67,64700.0,Employed,2,678,369
29,52,74000.0,Employed,4,793,278
30,46,71000.0,Employed,1,825,203
31,46,68000.0,Employed,2,775,249
32,33,79700.0,Student,4,640,78
33,26,74000.0,Employed,1,671,30
34,52,38000.0,Retired,2,736,216
35,71,154400.0,Employed,3,828,330
36,24,120400.0,Employed,1,732,34
37,69,85100.0,Self-Employed,2,850,438
38,68,60200.0,Employed,3,767,280
39,36,53600.0,Employed,1,630,147
40,57,49100.0,Employed,1,768,152
41,30,46700.0,Employed,4,666,89
42,64,21800.0,Unemployed,3,685,222
43,60,114300.0,Employed,1,781,82
44,41,90600.0,Employed,4,689,104
45,24,23300.0,Employed,2,691,52
46,76,90900.0,Self-Employed,2,778,232
47,46,54200.0,Retired,2,692,101
48,71,54700.0,Employed,2,779,394
49,59,71400.0,Employed,2,760,76
50,65,26700.0,Employed,1,791,216
51,64,58000.0,Student,2,789,301
52,32,53200.0,Employed,3,678,35
53,41,55300.0,Employed,2,724,114
54,47,29500.0,Retired,3,659,187
55,49,67300.0,Retired,1,796,233
56,23,79600.0,Unknown,1,802,16
57,52,66900.0,Employed,4,606,236
58,29,45700.0,Unknown,4,691,104
59,63,194800.0,Employed,2,850,394
60,59,37700.0,Unemployed,4,721,291
61,73,85300.0,Self-Employed,3,706,288
62,63,64800.0,Unemployed,2,712,133
63,41,131800.0,Employed,2,771,86
64,76,72500.0,Retired,3,778,480
65,44,70700.0,Employed,3,735,87
66,39,66400.0,Employed,4,764,78
67,72,37300.0,Employed,3,692,117
68,42,36200.0,Employed,1,730,193
69,25,44000.0,Employed,1,730,50
70,47,84000.0,Employed,2,662,97
71,66,65200.0,Employed,2,749,381
72,31,46600.0,Employed,3,760,84
73,47,101300.0,Employed,4,626,192
74,28,20700.0,Retired,4,570,95
75,60,32100.0,Employed,1,702,400
76,48,17800.0,Employed,4,669,171
77,39,91100.0,Self-Employed,1,716,126
78,33,49400.0,Employed,1,750,130
79,53,86400.0,Employed,3,789,101
80,59,54500.0,Employed,4,674,216
81,74,95800.0,Student,2,721,340
82,45,51200.0,Employed,2,671,63
83,30,61200.0,Self-Employed,1,699,21
84,68,66600.0,Employed,3,696,394
85,56,54700.0,Retired,1,754,318
86,60,122600.0,Self-Employed,1,817,264
87,26,24100.0,Student,2,647,47
88,38,51100.0,Student,3,646,97
89,64,63700.0,Student,2,721,289
90,68,60500.0,Employed,3,542,468
91,45,45300.0,Employed,3,701,193
92,66,46200.0,Retired,1,633,179
93,68,117800.0,Employed,3,701,197
94,43,52100.0,Employed,1,709,179
95,72,179800.0,Employed,2,813,254
96,37,66500.0,Unemployed,2,685,141
97,34,45500.0,Retired,2,731,38
98,59,73400.0,Retired,1,790,160
99,57,59600.0,Employed,1,699,188
100,28,92400.0,Retired,1,702,58
101,68,35000.0,Employed,3,686,267
102,32,22800.0,Student,2,567,97
103,66,54700.0,Employed,4,661,161
104,21,71300.0,Self-Employed,3,710,15
105,66,66800.0,Student,4,688,97
106,65,79200.0,Employed,4,732,368
107,65,74100.0,Employed,2,757,217
108,58,29300.0,Unknown,2,532,101
109,47,62000.0,Employed,4,672,160
110,61,104300.0,Self-Employed,1,741,352
111,36,56400.0,Student,1,622,60
112,65,32500.0,Unemployed,4,732,227
113,52,47900.0,Student,4,821,78
114,47,70200.0,Employed,3,734,81
115,49,123500.0,Employed,4,683,96
116,53,23200.0,Employed,4,731,211
117,23,58100.0,Employed,2,739,34
118,28,33200.0,Self-Employed,3,638,75
119,34,65100.0,Retired,2,603,64
120,27,65500.0,Employed,1,633,55
121,46,49000.0,Unknown,2,709,264
122,59,76000.0,Employed,2,669,92
123,58,95200.0,Employed,4,698,380
124,47,50700.0,Retired,4,736,176
125,69,32500.0,Unemployed,1,698,382
126,53,106200.0,Employed,4,798,156
127,25,72400.0,Employed,4,788,24
128,64,75100.0,Unknown,1,732,318
129,53,41000.0,Student,2,707,96
130,57,88500.0,Self-Employed,2,751,313
131,53,140200.0,Retired,4,704,297
132,52,52700.0,Employed,3,721,266
133,26,52200.0,Employed,4,716,58
134,52,34500.0,Employed,3,715,181
135,66,42500.0,Unemployed,1,759,231
136,38,32500.0,Student,2,661,125
137,55,59800.0,Employed,3,683,135
138,22,42200.0,Student,3,645,15
139,40,62800.0,Retired,4,785,115
140,45,36300.0,Unknown,1,695,209
141,77,56700.0,Unknown,3,663,358
142,33,33600.0,Employed,4,617,135
143,36,56800.0,Employed,4,722,95
144,44,25900.0,Employed,3,636,216
145,77,65400.0,Employed,3,694,480
146,69,52400.0,Unemployed,4,664,229
147,22,53400.0,Employed,2,649,9
148,34,54700.0,Employed,4,715,32
149,67,79100.0,Self-Employed,3,723,459
150,24,43400.0,Employed,3,729,44
151,69,65500.0,Employed,3,758,131
152,37,22600.0,Employed,1,542,96
153,73,34400.0,Employed,1,678,260
154,37,44000.0,Employed,1,660,144
155,45,100600.0,Employed,2,768,177
156,58,72300.0,Employed,4,751,309
157,28,53500.0,Self-Employed,4,738,80
158,52,36700.0,Employed,3,675,143
159,49,33500.0,Self-Employed,1,663,68
160,65,66300.0,Employed,2,742,164
161,77,83800.0,Employed,1,848,478
162,58,62600.0,Employed,3,690,371
163,44,116500.0,Self-Employed,4,782,46
164,44,39700.0,Retired,2,742,190
165,44,58500.0,Self-Employed,1,673,198
166,67,27500.0,Employed,1,717,169
167,39,58100.0,Employed,1,652,83
168,30,98700.0,Employed,3,817,77
