account_id,cardholder_id,product_id,open_date,credit_limit
1,1,2,06/04/2019,"$10,000.00"
2,2,2,09/20/2023,"$16,200.00"
3,3,4,2024-02-27,"$38,600.00"
4,4,1,09/24/2022,"$1,500.00"
5,5,4,2023-05-08,14100
6,6,3,2019-01-11,12800
7,7,2,2020-01-06,12100
8,8,3,Apr 02 2022,10700
9,9,4,06/16/2019,33600.00
10,10,4,2025-04-17,"$14,100.00"
11,11,1,2021-07-31,1500
12,12,3,Aug 03 2022,35000
13,13,3,05/29/2023,"$16,800.00"
14,14,4,Nov 14 2020,"$41,600.00"
15,15,2,01/25/2023,"$12,700.00"
16,16,4,03/11/2021,50000.00
17,17,2,2019-06-05,"$8,100.00"
18,18,2,2021-04-25,10000
19,19,2,2022-08-13,19100.00
20,20,2,2022-08-16,21800
21,21,4,2021-10-05,29300
22,22,3,Aug 22 2024,"$20,400.00"
23,23,3,03/07/2025,29300.00
24,24,2,2019-11-11,9800.00
25,25,4,2020-12-24,50000
26,26,3,2024-10-06,"$17,300.00"
27,27,4,07/15/2025,22000
28,28,3,May 29 2020,"$13,200.00"
29,29,4,Jun 28 2022,48700
30,30,4,01/26/2019,50000
31,31,4,2022-07-10,"$42,600.00"
32,32,2,2021-12-22,"$35,000.00"
33,33,3,Jan 07 2021,"$32,500.00"
34,34,4,2025-07-23,"$14,500.00"
35,35,4,02/09/2023,50000.00
36,36,4,Mar 27 2020,48800
37,37,4,10/02/2021,50000.00
38,38,4,11/26/2019,39300
39,39,2,2022-01-05,9200
40,40,4,2023-11-13,36000
41,41,3,2021-10-18,"$9,700.00"
42,42,3,2020-09-21,12000
43,43,4,06/30/2018,"$25,700.00"
44,44,3,Jul 28 2024,49700
45,45,3,06/15/2022,13800
46,46,4,2020-11-05,47500.00
47,47,3,Jun 13 2021,23400
48,48,4,2023-10-01,18800
49,49,4,05/19/2025,30900.00
50,50,4,2020-12-05,16800
51,51,4,Aug 08 2022,24600.00
52,52,3,05/16/2021,18500
53,53,4,Feb 15 2024,29800
54,54,2,2019-01-04,12100.00
55,55,4,01/20/2022,48200
56,56,4,Oct 30 2018,34400.00
57,57,1,2021-03-27,"$1,500.00"
58,58,2,2024-12-28,17900.00
59,59,4,Mar 09 2021,50000
60,60,4,03/13/2022,13000
61,61,3,07/02/2019,50000
62,62,3,2024-10-09,"$28,700.00"
63,63,4,2018-09-18,"$50,000.00"
64,64,4,Feb 16 2023,"$47,500.00"
65,65,3,2022-03-21,34000
66,66,4,2018-06-23,33000
67,67,3,05/11/2022,16100
