cardholder_id,age,annual_income,employment_status,region_id,fico_origination,credit_history_months
1,26,31600,Student,4,461,38
2,65,44600,Retired,4,591,443
3,58,72500,Employed,1,584,114
4,46,"$53,800.00",Retired,1,497,162
5,45,"$43,700.00",Employed,4,627,252
6,69,"$39,500.00",employed,1,541,324
7,25,31600,Student,4,481,50
8,60,54100.00,employed,1,573,113
9,32,"$127,800.00",Retired,2,668,127
10,26,64600,self-employed,4,590,66
11,51,"$30,500.00",retired,2,597,123
12,76,83700.00,employed,4,568,480
13,62,41100.00,Retired,4,516,252
14,64,"$58,200.00",Student,4,654,347
15,61,"$44,200.00",Retired,1,506,306
16,65,"$145,400.00",employed,2,606,316
17,50,33200.00,Unemployed,2,443,259
18,28,"$58,100.00",employed,4,515,24
19,68,43500,Employed,2,485,330
20,46,"$75,800.00",Student,4,535,155
21,49,"$62,800.00",Employed,2,590,288
22,42,94100,Employed,2,545,62
23,31,70700,Self-Employed,4,548,84
24,73,44100,Student,3,481,147
25,65,217300,Unemployed,4,652,420
26,57,"$72,900.00",Employed,1,625,366
27,43,"$41,900.00",self-employed,2,573,222
28,67,64700.00,Employed,2,541,369
29,52,74000,EMPLOYED,4,652,278
30,46,71000,EMPLOYED,1,682,203
31,46,68000,EMPLOYED,2,634,249
32,33,"$79,700.00",student,4,508,78
33,26,"$74,000.00",EMPLOYED,1,536,30
34,52,"$38,000.00",RETIRED,2,586,216
35,71,154400,employed,3,700,330
36,24,120400,Employed,1,603,34
37,69,85100.00,Self-Employed,2,727,438
38,68,60200,Employed,3,624,280
39,36,"$53,600.00",Employed,1,492,147
40,57,"$49,100.00",employed,1,621,152
41,30,"$46,700.00",employed,4,523,89
42,64,21800,UNEMPLOYED,3,528,222
43,60,"$114,300.00",Employed,1,649,82
44,41,"$90,600.00",Employed,4,557,104
45,24,"$23,300.00",Employed,2,534,52
46,76,"$90,900.00",Self-Employed,2,642,232
47,46,54200.00,Retired,2,551,101
48,71,"$54,700.00",employed,2,634,394
49,59,"$71,400.00",Employed,2,620,76
50,65,26700.00,EMPLOYED,1,631,216
51,64,"$58,000.00",student,2,645,301
52,32,"$53,200.00",EMPLOYED,3,537,35
53,41,55300.00,Employed,2,582,114
54,47,29500.00,RETIRED,3,509,187
55,49,67300,Retired,1,654,233
56,23,79600.00,,1,662,16
57,52,66900,Employed,4,474,236
58,29,45700,,4,547,104
59,63,"$194,800.00",Employed,2,738,394
60,59,37700.00,Unemployed,4,572,291
61,73,85300.00,Self-Employed,3,573,288
62,63,"$64,800.00",Unemployed,2,573,133
63,41,131800,Employed,2,642,86
64,76,"$72,500.00",Retired,3,638,480
65,44,"$70,700.00",Employed,3,596,87
66,39,66400,Employed,4,622,78
67,72,37300,Employed,3,544,117
68,42,36200.00,Employed,1,579,193
69,25,44000.00,Employed,1,583,50
70,47,84000.00,Employed,2,531,97
71,66,65200,Employed,2,608,381
72,31,"$46,600.00",Employed,3,612,84
73,47,101300,Employed,4,500,192
74,28,20700,Retired,4,417,95
75,60,32100,Employed,1,551,400
76,48,"$17,800.00",Employed,4,508,171
77,39,91100,Self-Employed,1,583,126
78,33,"$49,400.00",Employed,1,604,130
79,53,86400.00,EMPLOYED,3,651,101
80,59,54500,Employed,4,534,216
81,74,"$95,800.00",Student,2,589,340
82,45,51200,employed,2,529,63
83,30,"$61,200.00",Self-Employed,1,559,21
84,68,66600,Employed,3,559,394
85,56,,retired,1,613,318
86,60,122600,self-employed,1,685,264
87,26,"$24,100.00",Student,2,493,47
88,38,"$51,100.00",Student,3,506,97
89,64,63700,Student,2,582,289
90,68,60500,Employed,3,411,468
91,45,"$45,300.00",EMPLOYED,3,556,193
92,66,"$46,200.00",Retired,1,492,179
93,68,"$117,800.00",Employed,3,573,197
94,43,"$52,100.00",Employed,1,566,179
95,72,179800,Employed,2,688,254
96,37,"$66,500.00",Unemployed,2,548,141
97,34,"$45,500.00",Retired,2,585,38
98,59,73400,Retired,1,649,160
99,57,59600,Employed,1,560,188
100,28,92400.00,Retired,1,569,58
101,68,"$35,000.00",Employed,3,537,267
102,32,"$22,800.00",Student,2,416,97
103,66,,Employed,4,526,161
104,21,71300.00,Self-Employed,3,573,15
105,66,66800.00,Student,4,551,97
106,65,"$79,200.00",Employed,4,597,368
107,65,74100,Employed,2,619,217
108,58,29300,,2,388,101
109,47,62000,employed,4,534,160
110,61,104300.00,Self-Employed,1,610,352
111,36,56400,Student,1,485,60
112,65,32500,Unemployed,4,579,227
113,52,47900.00,student,4,671,78
114,47,70200,Employed,3,595,81
115,49,123500,Employed,4,557,96
116,53,23200,Employed,4,572,211
117,23,58100,Employed,2,597,34
118,28,"$33,200.00",Self-Employed,3,490,75
119,34,"$65,100.00",retired,2,470,64
120,27,"$65,500.00",employed,1,499,55
121,46,"$49,000.00",,2,566,264
